"CERT","CHCLASS1","CITYST","COST","FAILDATE","FIN","ID","NAME","QBFASSET","QBFDEP","RESTYPE","RESTYPE1","SAVR"
27332,"NM","PHILADELPHIA, PA",,"4/26/2024","10546","4110","REPUBLIC BANK",5866190,4373927,"FAILURE","PA","BIF"
8758,"NM","SAC CITY, IA",14804,"11/3/2023","10545","4109","CITIZENS BANK",60448,52311,"FAILURE","PA","DIF"
25851,"SM","ELKHART, KS",54167,"7/28/2023","10544","4108","HEARTLAND TRI-STATE BANK",139446,130110,"FAILURE","PA","DIF"
59017,"NM","SAN FRANCISCO, CA",16566779,"5/1/2023","10543","4107","FIRST REPUBLIC BANK",212638872,176436706,"FAILURE","PA","DIF"
57053,"NM","NEW YORK, NY",2787270,"3/12/2023","10540","4106","SIGNATURE BANK",110363650,88612911,"FAILURE","PA","DIF"
24735,"SM","SANTA CLARA, CA",19671712,"3/7/2023","10539","4105","SILICON VALLEY BANK",209026000,175378000,"FAILURE","PA","DIF"
15426,"NM","ALMENA, KS",15861,"10/23/2020","10538","4104","ALMENA STATE BANK",65733,64941,"FAILURE","PA","DIF"
16748,"NM","FORT WALTON BEACH, FL",7247,"10/16/2020","10537","4103","FIRST CITY BANK OF FLORIDA",136566,133936,"FAILURE","PA","DIF"
14361,"NM","BARBOURSVILLE, WV",43807,"4/3/2020","10536","4102","THE FIRST STATE BANK",151808,143102,"FAILURE","PA","DIF"
18265,"NM","ERICSON, NE",23992,"2/14/2020","10535","4101","ERICSON STATE BANK",100879,95159,"FAILURE","PA","DIF"
21111,"N","NEWARK, NJ",1161,"11/1/2019","10534","4100","CITY NATIONAL BANK OF NEW JERSEY",120574,111234,"FAILURE","PA","DIF"
58112,"NM","LOUISA, KY",4264,"10/25/2019","10532","4098","LOUISA COMMUNITY BANK",28163,25174,"FAILURE","PA","DIF"
58317,"SB","MAUMEE, OH",1571,"10/25/2019","10533","4099","RESOLUTE BANK",23292,22885,"FAILURE","PA","DIF"
10716,"NM","COOPER, TX",18263,"5/31/2019","10531","4097","ENLOE STATE BANK",36738,31254,"FAILURE","PI","DIF"
30570,"SB","CHICAGO, IL",75753,"12/15/2017","10530","4096","WASHINGTON FEDERAL BANK FOR SAVINGS",166345,143964,"FAILURE","PI","DIF"
17719,"NM","ARGONIA, KS",280,"10/13/2017","10529","4095","THE FARMERS AND MERCHANTS STATE BANK OF ARGONIA",33012,27466,"FAILURE","PA","DIF"
