"CERT","CHCLASS1","CITYST","COST","FAILDATE","FIN","ID","NAME","QBFASSET","QBFDEP","RESTYPE","RESTYPE1","SAVR"
8345,"NM","ARAPAHOE, NE",2108,"3/8/1985","2447","967","CITIZENS STATE BANK",16932,15644,"FAILURE","PA","FDIC"
32171,"SL","EL CERRITO, CA",-11381,"3/8/1985","7515","968","WESTERN COMMUNITY S&L",110589,7606,"FAILURE","IDT","FSLIC"
19064,"N","PORT ORANGE, FL",2459,"3/1/1985","2446","965","HALIFAX NATIONAL BANK OF PORT ORANGE",38584,35745,"FAILURE","PA","FDIC"
16248,"NM","INWOOD, IA",1259,"2/19/1985","2445","964","INWOOD STATE BANK",8147,7648,"FAILURE","PA","FDIC"
10997,"NM","FULDA, MN",12818,"2/15/1985","6543","963","CITIZENS STATE BANK OF FULDA",39376,36355,"FAILURE","IDT","FDIC"
14563,"N","EADS, CO",4648,"2/14/1985","2444","962","FIRST NATIONAL BANK OF EADS",17547,16718,"FAILURE","PA","FDIC"
2393,"NM","WARTBURG, TN",6273,"2/8/1985","6540","960","PEOPLES BANK & TRUST CO.",24408,23107,"FAILURE","IDT","FDIC"
22673,"NM","WOODLAND HILLS, CA",1247,"2/8/1985","2443","961","WEST VALLEY BANK",48262,43364,"FAILURE","PA","FDIC"
4093,"N","ERICK, OK",3639,"2/7/1985","2442","958","FARMERS NATIONAL BANK OF ERICK",16845,17340,"FAILURE","PA","FDIC"
4523,"N","WOODBINE, IA",7308,"2/7/1985","2441","959","FIRST NATIONAL BANK OF WOODBINE",25782,25800,"FAILURE","PA","FDIC"
22822,"NM","BRISTOL, TN",4060,"2/1/1985","2440","957","CITIZENS FIDELITY BANK",18223,17599,"FAILURE","PA","FDIC"
17833,"NM","CHEROKEE, IA",3309,"1/25/1985","2439","956","THE STEELE STATE BANK",21891,20586,"FAILURE","PA","FDIC"
4141,"N","MARLOW, OK",7642,"1/24/1985","2437","954","THE FIRST NATIONAL BANK IN MARLOW",27447,27006,"FAILURE","PA","FDIC"
13812,"N","CLARKSVILLE, TX",8697,"1/24/1985","2438","955","FIRST NATIONAL BANK IN CLARKSVILLE",34955,33390,"FAILURE","PA","FDIC"
22757,"NM","HARBOR, OR",1429,"1/11/1985","2436","953","COAST COMMUNITY BANK",9123,8473,"FAILURE","PA","FDIC"
18751,"NM","DANNEBROG, NE",1138,"1/7/1985","6532","952","STATE BANK OF DANNEBROG",4870,4350,"FAILURE","PO","FDIC"
22433,"SM","EDGERTON, WY",1208,"1/4/1985","6531","951","CITIZENS STATE BANK",2907,2563,"FAILURE","PO","FDIC"
30066,"SL","MARTINS FERRY, OH",,"1/1/1985","0","949","FIDELITY S&L",72544,72528,"ASSISTANCE","A/A","FSLIC"
32067,"SL","HONOLULU, HI",4318,"1/1/1985","0","950","PEOPLES S&LA",15032,10453,"ASSISTANCE","A/A","FSLIC"
22160,"NM","SANDWICH, IL",1018,"12/22/1984","2435","948","FIRST SECURITY BANK",13422,12101,"FAILURE","PA","FDIC"
17700,"NM","SELDEN, KS",8024,"12/20/1984","2434","947","THE FARMERS STATE BANK",14578,13697,"FAILURE","PA","FDIC"
20978,"NM","UEHLING, NE",700,"12/18/1984","6528","946","UEHLING STATE BANK",4224,3713,"FAILURE","IDT","FDIC"
21505,"NM","WICHITA, KS",2064,"12/11/1984","2433","945","UNIVERSITY BANK OF WICHITA",4700,4474,"FAILURE","PA","FDIC"
18946,"NM","HOLYOKE, CO",1415,"12/7/1984","2432","943","FARMERS STATE BK OF HOLYOKE",3901,3578,"FAILURE","PA","FDIC"
31987,"SL","SAN MARINO, CA",263147,"12/7/1984","7514","944","SAN MARINO S&LA",856806,212229,"FAILURE","IDT","FSLIC"
22999,"SM","TREMONTON, UT",3575,"12/4/1984","2431","942","GOLDEN SPIKE STATE BANK",7788,7269,"FAILURE","PA","FDIC"
2378,"NM","DAYTON, TN",6306,"11/30/1984","6524","941","THE DAYTON BK & TR CO.",51433,50035,"FAILURE","IDT","FDIC"
12429,"NM","STRONG CITY, KS",1848,"11/29/1984","2430","940","THE STRONG CITY STATE BANK",5026,4746,"FAILURE","PA","FDIC"
21016,"NM","PENDLETON, OR",2221,"11/16/1984","2429","934","FIRST AMERICAN BANKING COMPANY",18630,15269,"FAILURE","PA","FDIC"
30848,"SL","KNOXVILLE, TN",30415,"11/16/1984","0","935","KNOX FS&LA",154654,141607,"ASSISTANCE","A/A","FSLIC"
31848,"SL","KNOXVILLE, TN",9856,"11/16/1984","0","936","AMERICAN S&LA",64839,59729,"ASSISTANCE","A/A","FSLIC"
31877,"SL","SEVIERVILLE, TN",14864,"11/16/1984","0","937","JOHN SEVIER S&LA",35765,34238,"ASSISTANCE","A/A","FSLIC"
31883,"SL","SAVANNAH, TN",9667,"11/16/1984","0","938","SAVANNAH FS&LA",19343,14507,"FAILURE","IDT","FSLIC"
31890,"SL","KNOXVILLE, TN",5124,"11/16/1984","0","939","EAST TENNESSEE",21881,15024,"ASSISTANCE","A/A","FSLIC"
4671,"N","GAYLORD, KS",2506,"10/25/1984","2428","933","THE FIRST NAT BK OF GAYLORD",6426,6074,"FAILURE","PA","FDIC"
1994,"NM","CODY, NE",2716,"10/24/1984","2425","930","THE BANK OF CODY",10277,9380,"FAILURE","PA","FDIC"
8342,"NM","KILGORE, NE",0,"10/24/1984","2426","931","FARMERS STATE BANK",6082,5538,"FAILURE","PA","FDIC"
16646,"NM","BOYD, MN",2847,"10/24/1984","2427","932","STATE BANK OF BOYD",7117,6221,"FAILURE","PA","FDIC"
8985,"NM","THOMAS, OK",6923,"10/19/1984","2424","929","AMERICAN STATE BANK",23869,22195,"FAILURE","PA","FDIC"
11008,"NM","BUCKLIN, MO",7056,"10/12/1984","2423","927","BUCKLIN STATE BANK OF BUCKLIN",16133,15265,"FAILURE","PA","FDIC"
16991,"NM","ONEIDA, TN",2983,"10/12/1984","2422","928","ONEIDA BK & TR CO.",6292,5445,"FAILURE","PA","FDIC"
12867,"NM","REXFORD, KS",4481,"10/10/1984","2421","926","THE REXFORD STATE BANK",5770,5294,"FAILURE","PA","FDIC"
9883,"NM","TECUMSEH, OK",6052,"10/5/1984","2420","925","THE FARMERS & MERCHANTS BANK",31139,30968,"FAILURE","PA","FDIC"
30939,"SL","CORINTH, MS",1500,"10/2/1984","0","924","FIDELITY FS&LA",34817,33596,"ASSISTANCE","A/A","FSLIC"
28764,"SL","GARDEN CITY, NY",16000,"10/1/1984","0","922","SUBURBIA FS&LA",660228,630807,"ASSISTANCE","A/A","FSLIC"
31617,"SL","PONCE, PR",1703,"10/1/1984","1662","923","HOME FS&LA",45594,23715,"ASSISTANCE","A/A","FSLIC"
16148,"SI","LIVINGSTON, NJ",7326,"9/28/1984","1922","921","ORANGE SAVINGS BANK",513376,498033,"ASSISTANCE","A/A","FDIC"
2304,"SM","WEATHERFORD, OK",20447,"9/21/1984","2418","919","SECURITY STATE BANK",50126,48462,"FAILURE","PA","FDIC"
27781,"SL","CLEVELAND, OH",80848,"9/21/1984","1661","920","CONTINENTAL FS&LA",1039846,837663,"ASSISTANCE","A/A","FSLIC"
22369,"N","JACKSONVILLE, FL",2306,"9/20/1984","2417","918","CENTURY NATIONAL BANK",13207,13267,"FAILURE","PA","FDIC"
16531,"NM","VERDIGRE, NE",3709,"9/19/1984","2416","917","BANK OF VERDIGRE & TRUST COMPANY",13356,12729,"FAILURE","PA","FDIC"
19119,"NM","ENID, OK",10755,"9/14/1984","2415","916","COMMUNITY BK & TR CO.",32236,28002,"FAILURE","PA","FDIC"
233,"NM","OAKLAND, IA",6565,"9/7/1984","2414","914","OAKLAND SAVINGS BANK",22101,19921,"FAILURE","PA","FDIC"
29456,"SL","INDIANAPOLIS, IN",26754,"9/7/1984","1660","915","UNION FS&LA",309344,285940,"ASSISTANCE","A/A","FSLIC"
13256,"NM","DAVID CITY, NE",2285,"9/6/1984","2413","913","DAVID CITY BANK",21321,18801,"FAILURE","PA","FDIC"
29892,"SL","PROVIDENCE, RI",9550,"9/1/1984","0","912","RHODE ISLAND FS&LA",130265,124408,"ASSISTANCE","A/A","FSLIC"
22485,"NM","EUGENE, OR",1170,"8/31/1984","2412","911","BANK OF THE NORTHWEST",21780,19793,"FAILURE","PA","FDIC"
28418,"SL","BALTIMORE, MD",23662,"8/28/1984","1659","909","FIDELITY FS&LA",137793,79211,"ASSISTANCE","A/A","FSLIC"
31284,"SL","BLOOMINGTON, IL",42898,"8/28/1984","1659","910","AMERICAN HERITAGE SAVINGS FA",277008,256379,"ASSISTANCE","A/A","FSLIC"
9219,"NM","HEREFORD, CO",765,"8/24/1984","6505","908","HEREFORD STATE BANK",2707,2476,"FAILURE","PO","FDIC"
4780,"NM","THAYER, KS",5094,"8/22/1984","2408","907","THE FIRST STATE BANK",12163,11224,"FAILURE","PA","FDIC"
14422,"N","MCLEAN, TX",3006,"8/16/1984","2406","905","AMERICAN NAT BK IN MCLEAN",14271,13408,"FAILURE","PA","FDIC"
23765,"NM","SAN JUAN, PR",86341,"8/16/1984","2407","906","GIROD TRUST COMPANY",405685,289698,"FAILURE","PA","FDIC"
10480,"NM","POLAND, IN",5092,"8/10/1984","2404","902","PEOPLES STATE BANK OF CLAY COUNTY",17724,17106,"FAILURE","PA","FDIC"
14796,"NM","MOUNT AYR, IA",6317,"8/10/1984","2405","903","THE TINGLEY STATE SAVINGS BANK",19404,18478,"FAILURE","PA","FDIC"
28546,"SL","CEDARHURST, NY",6470,"8/10/1984","1658","904","CENTURY FS&LA",651723,724485,"ASSISTANCE","A/A","FSLIC"
3895,"N","TUCKERMAN, AR",5341,"8/9/1984","2403","901","JACKSON COUNTY NATIONAL BANK",13254,12941,"FAILURE","PA","FDIC"
31414,"SL","MITCHELL, SD",,"8/1/1984","0","900","MITCHELL HOME S&LA",16607,18029,"ASSISTANCE","A/A","FSLIC"
10699,"NM","COALMONT, TN",7786,"7/24/1984","2401","898","COALMONT SAVINGS BANK",25716,24039,"FAILURE","PA","FDIC"
31392,"SL","SEATTLE, WA",4226,"7/24/1984","1657","899","QUEEN CITY S&LA, WA",233512,130867,"ASSISTANCE","A/A","FSLIC"
18510,"NM","ST. PAUL, MN",5919,"7/19/1984","2400","897","THE GUARANTY BK OF SAINT PAUL",28619,27461,"FAILURE","PA","FDIC"
29182,"SL","WINDOM, MN",5664,"7/18/1984","0","896","WINDOM FS&LA",47882,45268,"ASSISTANCE","A/A","FSLIC"
3782,"N","COFFEEN, IL",1679,"7/12/1984","2399","895","THE COFFEEN NATIONAL BANK",9359,9374,"FAILURE","PA","FDIC"
16654,"NM","LONGVIEW, TX",19882,"6/29/1984","2398","894","EAST TEXAS BK & TR CO.",106092,97121,"FAILURE","PA","FDIC"
9175,"NM","SAINT JOSEPH, TN",13316,"6/27/1984","6494","893","AMERICAN BANK",32993,29811,"FAILURE","IDT","FDIC"
4424,"N","AURELIA, IA",2008,"6/21/1984","2397","892","THE FARMERS NAT BK OF AURELIA",19900,19142,"FAILURE","PA","FDIC"
12213,"NM","KANSAS CITY, MO",3898,"6/18/1984","6492","891","REPUBLIC BK OF KANSAS CITY",41326,38328,"FAILURE","IDT","FDIC"
5631,"NM","CORNING, AR",13766,"6/15/1984","2396","888","THE CORNING BANK",32030,30570,"FAILURE","PA","FDIC"
9009,"NM","LYONS, SD",855,"6/15/1984","2394","889","FARMERS STATE BANK",3231,2984,"FAILURE","PA","FDIC"
20188,"SM","LAWRENCEBURG, TN",6521,"6/15/1984","2395","890","THE LAWRENCE COUNTY BANK",25155,24521,"FAILURE","PA","FDIC"
23362,"NM","PORTLAND, OR",1083,"6/8/1984","6488","886","STEWARDSHIP BANK OF OREGON",6314,5843,"FAILURE","PO","FDIC"
31644,"SL","DEDEDO, GU",8825,"6/8/1984","1655","887","AMERICAN S&LA",58431,38790,"ASSISTANCE","A/A","FSLIC"
9054,"NM","CENTRE, AL",7084,"6/5/1984","2393","885","CHEROKEE COUNTY BANK",39391,37588,"FAILURE","PA","FDIC"
22848,"NM","GARDEN GROVE, CA",5412,"6/1/1984","2392","884","GARDEN GROVE COMMUNITY BANK",43892,41127,"FAILURE","PA","FDIC"
24098,"N","PRIOR LAKE, MN",4914,"5/24/1984","2391","883","FIRST NAT BK OF PRIOR LAKE",12231,11494,"FAILURE","PA","FDIC"
11791,"NM","OPELOUSAS, LA",28846,"5/18/1984","2388","879","PLANTERS TRUST & SAVINGS BANK OF OPELOUSAS",71427,66396,"FAILURE","PA","FDIC"
21410,"NM","IRVINE, CA",2278,"5/18/1984","2389","880","BANK OF IRVINE",30992,29401,"FAILURE","PA","FDIC"
21891,"NM","PIKEVILLE, TN",2092,"5/18/1984","2387","881","BLEDSOE COUNTY BANK",5272,5402,"FAILURE","PA","FDIC"
22568,"N","CHICAGO, IL",1984,"5/18/1984","2390","882","WASHINGTON NAT BK OF CHICAGO",14077,13809,"FAILURE","PA","FDIC"
3622,"N","CHICAGO, IL",1108948,"5/17/1984","2402","878","CONTINENTAL ILLINOIS NAT BK & TR",39956956,28590214,"ASSISTANCE","A/A","FDIC"
31636,"SL","HOUSTON, TX",,"5/16/1984","0","877","INVESTORS S&LA",31463,24245,"ASSISTANCE","A/A","FSLIC"
17036,"NM","JACKSON, MS",20035,"5/11/1984","2386","875","THE MISSISSIPPI BANK",238037,182956,"FAILURE","PA","FDIC"
